,Mean Squared Error (Transactions),R-squared Score (Transactions),Mean Squared Error (Visits),R-squared Score (Visits),Mean Squared Error (CAC),R-squared Score (CAC)
1180_8Sleep_Prospecting_Elon_No_Comment,4.854623970434761e-06,-27.98851318625674,24.497999999999994,-23.497999999999994,285366320.10635364,-4.219324048698345
ASC Creative Testing Campaign,0.2513630579981203,-0.26645717549563397,585.8628000000001,0.40941249999999985,1295001.7305369177,-0.011924127425334552
Advantage+ shopping campaign CELL C Campaign,1.4708178306260087,0.35637003690030455,15208.260765260773,0.40975835105965464,244686.08028776915,0.31865017706135823
Blended Acquisition,2.4380701135468983,0.5093861568778713,203477.93256550623,0.6804601241465373,224839.10804608275,0.2634226025013786
Blended Acquisition - France:Italy,2.1363377244514576,-0.342825534783777,365626.6771555555,0.9582672851004431,13315.03269320571,0.3146087286012652
Character_8Sleep_ASC_Prospecting,2.537014253232342,-0.012615505626052181,14352.518110119263,0.7172101504392006,180469.85638436567,0.03707750860231218
Character_8Sleep_ASC_Prospecting_EDU,19.347796939802564,0.1218379765248383,18098.22674269414,0.8652554124052698,96514.3489727534,0.3279724519739633
Character_8Sleep_ASC_Prospecting_Sales+Promos,3.438138112741953,-0.033473542719681504,2823.38256535359,0.8279599706312797,372557.3458571458,0.12961808363320715
Character_8Sleep_Prospecting,1.719493031639178,0.5735425854523971,39092.739423441715,0.7699776486545254,1688690.0647041958,-3.983878403031703
Character_8Sleep_Sales&Creative_testing,1.9852554538066918,-0.18337217213178536,98552.38211659626,0.7864258737278738,3084424.156696285,-0.7782229662620845
Prospecting - Black Crow LAL - 1180,0.505497117433982,-0.2602640011759778,5375.370779586107,-0.20807336928898423,434253.2432581993,-0.38408343752632645
Prospecting - Black Crow LAL - ABO,5.1201208620157495,0.6338958277384351,62596.03411075911,0.7611328430341538,240544.97126056784,0.29126313797210057
Prospecting - Black Crow LAL - ABO - CELL C,1.0400132307356706,0.1321118800782538,32156.889520000004,0.3229592590908247,59431.69890088487,0.4738772796391162
Prospecting - Black Crow LAL - ABO - Copy,2.3204595915447017,0.37023287276091443,2669.6294636027355,0.8770055599016754,178548.87062313416,0.2027021130806842
Prospecting - Proxima - ABO,3.8733357704093634,-0.8505547814745091,9320.214199999999,-0.4648091155553806,130641.70197660003,0.7174630527735344
Prospecting Interests,0.001880789158836044,-0.8084541832437406,853.74272,0.12361139853822778,7001751.031917569,-5.090173541966214
Prospecting_Advantage+Shopping Campaign,4.3319295753458205,0.6894561997121172,51945.55452696663,0.7453332972731389,985124.3825391142,0.35438874279370736
Prospecting_Broad,0.5059630722956884,-0.23765462169653673,972.3246666666668,-0.9226222536861632,260970.14487970682,-3.1675194037866836
Retargeting,2.015670183083359,0.3025521431343725,11514.941558508239,0.7081657383582822,162142.89001247354,0.27879688095731114
Retargeting (Shop Page),2.5193668227604826,-0.09335042856133247,137.0164373478185,0.5415891070288007,2501740.5949328127,-13.469415816168807
UK ASC Campaign,0.19034902846823024,-0.1469966657437516,727.1989208333333,0.8867892673391923,1373361.1883111638,-0.3327053470253627
