Campaign Name,Spend,Estimated Transactions,Estimated CAC
Prospecting - Black Crow LAL - ABO,4500,12.576248997184853,357.8173429141955
Prospecting_Advantage+Shopping Campaign,5000,10.746224453045356,465.2796916579439
Blended Acquisition - France:Italy,2100,6.555193688667994,320.3566667496467
Blended Acquisition,2700,5.4370283705753994,496.5947970056775
Character_8Sleep_ASC_Prospecting_Sales+Promos,2300,5.087175906570001,452.1172537064404
Retargeting (Shop Page),1700,4.798388585770001,354.28560434673506
Character_8Sleep_ASC_Prospecting_EDU,1900,4.213030265418754,450.9818065147817
Prospecting - Black Crow LAL - ABO - Copy,400,4.112099489586002,97.27391105517032
Retargeting,1000,3.555737395993088,281.2356168728564
Advantage+ shopping campaign CELL C Campaign,1600,3.4728764265000005,460.713196643307
